id_cliente;nome_cliente;data_nascimento;rg;cpf;endereco;numero;complemento;bairro;cidade;estado;cep;telefone;codigo_produto;nome_produto;quantidade;valor_produto;data_venda;data_compra;forma_pagamento;codigo_loja;nome_loja;codigo_vendedor;nome_vendedor;status_venda;observacoes;data_importacao;data_registro
83;Dr. Ian Rocha;30/07/2004;5761984;90356427161;Recanto Teixeira, 81;33;;Vila Pilar;São Paulo;SP;00263438;01105920568;P006;Caixa de Som;3;200.0;12/02/2025;12/02/2025;Cartao Debito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
84;Sr. Danilo Aparecida;03/05/1993;4635387;82536094774;Alameda de Ribeiro;10;;Providencia;São Paulo;SP;67385877;3166786163;P003;Tablet;2;1800.0;14/05/2025;14/05/2025;Pix;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
85;Marcelo Rocha;30/11/1990;3816024;24395607829;Praia Vasconcelos, 53;82;;Milionario;São Paulo;SP;91552183;5508182443126;P006;Caixa de Som;2;200.0;16/05/2024;16/05/2024;Cartao Debito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
86;Joao Gabriel Silveira;28/06/1974;9778903;97241638573;Vereda Maria Isis das Neves;74;;Marilandia;São Paulo;SP;51794760;01195136895;P004;Monitor;1;950.0;25/07/2025;25/07/2025;Cartao Debito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
87;Bruna Martins;15/03/1978;9779785;18925460785;Vereda Pinto, 701;66;;Boa União 2ª Seção;São Paulo;SP;57499833;558483467797;P003;Tablet;1;1800.0;02/05/2025;02/05/2025;Cartao Credito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
88;Rafael Freitas;05/07/1987;1447093;56308921777;Esplanada das Neves, 235;226;;Monsenhor Messias;São Paulo;SP;86115-858;5507148753509;P007;Mouse;2;80.0;04/03/2025;04/03/2025;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
89;Sr. Anthony Fernandes;30/03/1973;5567304;72134560916;Rodovia Theodoro Vieira;571;;Heliopolis;São Paulo;SP;27654784;554123176982;P008;Impressora;5;600.0;17/10/2025;17/10/2025;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
90;Benjamin Pacheco;31/10/2004;1691359;26315408915;Favela Cavalcanti, 297;85;;Eymard;São Paulo;SP;23305732;5501165415238;P006;Caixa de Som;3;200.0;10/08/2025;10/08/2025;Cartao Debito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
91;Kevin Carvalho;29/06/1997;5541812;59073864283;Recanto de Caldeira, 8;87;;Vila Vista Alegre;São Paulo;SP;45791022;553147984141;P003;Tablet;1;1800.0;08/10/2025;08/10/2025;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
92;Dr. Lucas Marques;09/02/1996;3135090;52037894600;Alameda Silva, 10;7;;São Gonçalo;São Paulo;SP;58095638;05000743706;P007;Mouse;1;80.0;29/06/2025;29/06/2025;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
93;Nina Fonseca;08/09/1993;7441098;95230174897;Aeroporto de Cassiano, 74;40;;São Cristóvão;São Paulo;SP;19210674;01107036320;P005;Teclado;1;150.0;28/10/2024;28/10/2024;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
94;Lucas Lopes;20/02/1991;5475323;45103769280;Morro Maria Alice da Rocha, 53;813;;Vila Nova Dos Milionarios;São Paulo;SP;19265596;03101362561;P003;Tablet;1;1800.0;18/06/2025;18/06/2025;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
95;Vitor Hugo Macedo;06/12/1991;8810473;20543897141;Viaduto Júlia das Neves, 88;66;;Lagoa;São Paulo;SP;90933-804;551135611595;P006;Caixa de Som;4;200.0;22/05/2024;22/05/2024;Cartao Credito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
96;Theo Pinto;04/06/1977;6575570;43126957099;Vale Guilherme Rios, 76;57;;Serra Do Curral;São Paulo;SP;45525064;08006208914;P002;Smartphone;4;2500.0;22/12/2023;22/12/2023;Dinheiro;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
97;Maria Liz Nogueira;10/02/2004;8878152;51097823695;Distrito Guilherme Alves, 907;85;;Carmo;São Paulo;SP;57904-039;5504145046613;P002;Smartphone;4;2500.0;20/02/2024;20/02/2024;Dinheiro;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
98;Joao Lucas Albuquerque;24/01/1962;7904124;31097564207;Estrada Mathias Cardoso, 1;5;;Aeroporto;São Paulo;SP;35502-948;5505145750024;P003;Tablet;4;1800.0;26/11/2024;26/11/2024;Cartao Debito;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
99;Daniela da Rosa;04/08/1964;4299663;54938207656;Avenida de Gomes;338;;São Francisco;São Paulo;SP;32360492;08495657771;P006;Caixa de Som;4;200.0;09/05/2024;09/05/2024;Pix;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
100;Gustavo Cirino;24/05/1981;9530057;93682075186;Sítio de Sá, 29;24;;Beira Linha;São Paulo;SP;21326903;5504133214296;P004;Monitor;4;950.0;26/12/2024;26/12/2024;Dinheiro;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
101;Dante Santos;09/05/1958;3912768;92736541855;Colônia da Costa, 73;65;;Cachoeirinha;São Paulo;SP;63252431;05006536083;P004;Monitor;1;950.0;07/02/2025;07/02/2025;Pix;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
102;Sr. Jose Vasconcelos;09/10/1971;8198046;91675082359;Ladeira Souza;72;;Grajaú;São Paulo;SP;34846-631;5507136869495;P006;Caixa de Som;4;200.0;16/04/2025;16/04/2025;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
103;Sofia Siqueira;09/02/1957;5912082;12536948005;Conjunto de da Mata;12;;Conjunto Providencia;São Paulo;SP;90795036;08006418315;P008;Impressora;4;600.0;30/11/2024;30/11/2024;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
104;Maria Sophia Sa;03/09/1983;6996897;97562130868;Rua Joana Rios, 24;862;;Gameleira;São Paulo;SP;92108894;3160383502;P006;Caixa de Som;1;200.0;13/02/2024;13/02/2024;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
105;Juliana Moraes;20/04/1986;7656525;29483710669;Conjunto de Câmara, 6;24;;Candelaria;São Paulo;SP;22114-962;556184334923;P004;Monitor;4;950.0;28/04/2024;28/04/2024;Cartao Credito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
106;Asafe Moura;17/08/1989;9725382;60423958747;Ladeira de Moraes;57;;Vila Sumaré;São Paulo;SP;76772324;08194174607;P002;Smartphone;5;2500.0;26/12/2024;26/12/2024;Boleto;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
107;Sr. Mateus Ribeiro;12/05/1991;5838431;16274589309;Residencial de Pereira, 25;71;;Barreiro;São Paulo;SP;67375-303;1122272695;P008;Impressora;5;600.0;27/08/2025;27/08/2025;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
108;Srta. Lavinia Barros;31/05/1991;6079172;57036248190;Trecho de das Neves;33;;João Pinheiro;São Paulo;SP;08344629;8185830328;P007;Mouse;2;80.0;06/10/2025;06/10/2025;Boleto;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
109;Dra. Gabrielly Cavalcanti;20/05/1960;7341368;49165082389;Pátio de Pereira, 4;230;;Vila Mangueiras;São Paulo;SP;09152-777;557171672192;P007;Mouse;5;80.0;14/07/2024;14/07/2024;Pix;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
110;Sr. Luiz Miguel Peixoto;01/11/1975;8058247;80429716567;Trevo Souza, 23;85;;Cidade Jardim Taquaril;São Paulo;SP;56189-995;8469387097;P005;Teclado;4;150.0;16/07/2024;16/07/2024;Dinheiro;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
111;Yuri Dias;12/01/2004;8698597;47108259630;Lagoa Ana Luiza Cavalcanti, 6;30;;Alta Tensão 1ª Seção;São Paulo;SP;49972867;07164782455;P008;Impressora;5;600.0;09/06/2024;09/06/2024;Dinheiro;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
112;Dra. Mariane Rocha;14/01/1958;4438174;80567319466;Passarela Diogo Moura, 2;71;;Itapoa;São Paulo;SP;45904-306;3174934318;P001;Notebook;1;3500.0;02/12/2024;02/12/2024;Dinheiro;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
113;Valentina da Mota;18/04/1998;8948158;74158026911;Vila Arthur Dias, 38;428;;Primeiro De Maio;São Paulo;SP;65596-723;5504145800422;P001;Notebook;1;3500.0;23/09/2024;23/09/2024;Dinheiro;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
114;Livia Costa;18/05/1986;8955008;26731594873;Vereda de Mendes;57;;Vila Primeiro De Maio;São Paulo;SP;28858007;04167184736;P005;Teclado;4;150.0;17/07/2025;17/07/2025;Dinheiro;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
115;Srta. Alice Porto;10/02/1957;8334188;93460287500;Residencial Yago da Rocha, 79;36;;Vila Coqueiral;São Paulo;SP;16705-127;555110479536;P001;Notebook;2;3500.0;11/04/2024;11/04/2024;Boleto;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
116;Arthur Cavalcante;08/11/1968;5894723;19382467050;Loteamento de Albuquerque, 92;5;;Conjunto Lagoa;São Paulo;SP;73819675;03000844766;P007;Mouse;1;80.0;29/01/2025;29/01/2025;Pix;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
117;Vinicius Camara;27/06/1963;1014502;82059347629;Chácara de Sousa, 353;46;;Santa Sofia;São Paulo;SP;62640643;5504129567251;P002;Smartphone;3;2500.0;15/06/2025;15/06/2025;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
118;Srta. Gabrielly Montenegro;23/03/1990;6063720;59108472360;Lago Marques, 3;854;;Vila Novo São Lucas;São Paulo;SP;28283-573;06136409235;P001;Notebook;2;3500.0;02/10/2024;02/10/2024;Pix;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
119;Heitor Barbosa;27/06/1983;8548030;51938740610;Vereda da Mata, 568;12;;Calafate;São Paulo;SP;87340-937;5502103868532;P002;Smartphone;5;2500.0;16/06/2024;16/06/2024;Boleto;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
120;Asafe Ramos;07/12/1956;1170926;02197684396;Condomínio Vasconcelos, 42;96;;Barão Homem De Melo 2ª Seção;São Paulo;SP;24671708;5505129934883;P002;Smartphone;1;2500.0;22/05/2024;22/05/2024;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
101;Maria Eduarda Fogaca;26/08/1986;1765108;12356980768;Lago Renan Correia, 3;75;;Vila Real 2ª Seção;São Paulo;SP;22824-374;3139776254;P004;Monitor;4;950.0;03/07/2024;03/07/2024;Dinheiro;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
102;Paulo Albuquerque;02/10/1994;3196297;42169735828;Rodovia de Guerra, 8;29;;Santa Lúcia;São Paulo;SP;03970-196;5508469524132;P007;Mouse;2;80.0;17/05/2024;17/05/2024;Pix;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
103;Vitor Hugo da Paz;26/08/1993;2403643;58967032102;Sítio de da Cunha, 81;27;;Novo Aarão Reis;São Paulo;SP;13112-885;5508126131835;P007;Mouse;2;80.0;20/07/2025;20/07/2025;Cartao Debito;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
104;Bella Santos;03/02/1955;8768881;13420759606;Vale Davi Novaes, 99;607;;Ápia;São Paulo;SP;38968-257;05003609571;P005;Teclado;1;150.0;31/08/2024;31/08/2024;Dinheiro;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
105;Ravi Lucca Montenegro;25/06/1963;3208428;40216839505;Rodovia Mariah da Rocha, 3;748;;Pirineus;São Paulo;SP;57093-247;553182306544;P002;Smartphone;3;2500.0;17/05/2024;17/05/2024;Cartao Debito;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
